7,2,20,20,20
7,3,38,32,32
7,4,17,23,23
7,5,19,19,19
7,6,19,19,19
7,7,73,73,73
7,8,18,18,18
7,9,37,38,38
7,10,40,39,39
7,11,36,36,36
7,12,47,47,47
7,13,31,31,31
8,1,22,22,22
8,2,23,23,23
8,3,15,15,15
8,4,17,17,17
8,5,14,14,14
8,6,14,14,14
8,7,10,10,10
8,8,17,17,17
8,9,32,32,32
8,10,3,3,3
9,1,22,22,22
9,2,13,13,13
9,3,26,26,26
9,4,21,21,21
9,5,27,27,27
9,6,30,30,30
9,7,21,21,21
9,8,22,22,22
9,9,35,35,35
9,10,22,22,22
9,11,20,20,20
9,12,25,25,25
9,13,28,28,28
9,14,22,22,22
9,15,35,35,35
9,16,22,22,22
9,17,16,16,16
9,18,21,21,21
9,19,29,29,29
9,20,29,29,29
9,21,34,34,34
9,22,30,30,30
9,23,17,17,17
9,24,25,25,25
9,25,6,6,6
9,26,14,14,14
9,27,23,23,23
9,28,28,28,28
9,29,25,25,25
9,30,31,31,31
9,31,40,40,40
9,32,22,22,22
9,33,33,33,33
9,34,37,37,37
9,35,16,16,16
9,36,33,33,33
9,37,24,24,24
9,38,41,38,41
9,39,30,38,30
9,40,32,27,24
9,41,26,25,34
9,42,17,17,17
10,1,6,6,6
10,2,12,12,12
10,3,8,8,8
10,4,8,8,8
10,5,12,12,12
10,6,10,10,10
10,7,17,17,17
10,8,9,9,9
10,9,20,20,20
10,10,18,18,18
10,11,7,7,7
10,12,8,8,8
10,13,6,5,6
10,14,7,7,7
10,15,5,5,5
10,16,11,11,11
10,17,15,15,15
10,18,50,50,50
10,19,14,14,14
10,20,9,9,9
10,21,13,13,13
10,22,31,31,31
10,23,6,6,6
10,24,10,10,10
10,25,22,22,22
10,26,12,12,12
10,27,14,14,14
10,28,9,9,9
10,29,11,11,11
10,30,12,12,12
10,31,24,24,24
10,32,11,11,11
10,33,22,22,22
10,34,22,22,22
10,35,28,28,28
10,36,12,12,12
10,37,40,40,40
10,38,22,22,22
10,39,13,13,13
10,40,17,17,17
10,41,13,13,13
10,42,11,11,11
10,43,5,5,5
10,44,26,26,26
10,45,17,17,17
10,46,11,11,11
10,47,9,9,9
10,48,14,14,14
10,49,20,20,20
10,50,23,23,23
10,51,19,19,19
10,52,9,9,9
10,53,6,6,6
10,54,7,7,7
10,55,23,23,23
10,56,13,13,13
10,57,11,11,11
10,58,11,11,11
10,59,17,17,17
10,60,12,12,12
10,61,8,8,8
10,62,12,12,12
10,63,11,11,11
10,64,10,10,10
10,65,13,13,13
10,66,20,20,20
10,67,7,7,7
10,68,35,35,35
10,69,36,36,36
10,70,5,5,5
10,71,24,24,24
10,72,20,20,20
